price,postal_code,address,mls,bed,full_bath,half_bath,property_area,property_type,latitude,longitude,year_built,years_old,distance_downtown,monthly_payments,lot_size,basement,garage
219900,T2Y 3G2,", 22 Shawbrooke Court SW",A1045249,2.0,2.0,1.0,1109.0,townhouse,50.90664,-114.09200000000001,1998.0,22.0,15.44,950.87,na,1.0,0.0
539000,T2E 2Z9,1 - 1510 CENTRE A ST NE,C4306021,2.0,2.0,1.0,1448.0,townhouse,51.065644,-114.061,,,2.47,2330.7,na,0.0,1.0
549000,T2N 3R3,1 - 1718 KENSINGTON RD NW,A1029496,3.0,3.0,1.0,1211.0,townhouse,51.052786,-114.098,2018.0,2.0,1.89,2373.94,na,0.0,1.0
394000,T3E 1V3,1 - 1938 24A ST SW,A1034579,2.0,2.0,1.0,1046.0,townhouse,51.036421000000004,-114.118,2007.0,13.0,3.22,1703.7,na,0.0,1.0
285000,T2S 0L1,1 - 210 25 AVE SW,A1017109,2.0,1.0,,849.0,condo,51.030731,-114.06700000000001,2006.0,14.0,1.65,1232.38,,0.0,1.0
439000,T2S 2Z2,1 - 24 34 AVE SW,A1043468,3.0,2.0,1.0,1126.0,townhouse,51.023518,-114.061,1982.0,38.0,2.55,1898.29,na,0.0,0.0
429000,T2T 4S4,1 - 2408 17A ST SW,A1023315,2.0,2.0,1.0,1010.0,townhouse,51.032947,-114.103,2010.0,10.0,2.43,1855.05,na,1.0,1.0
575000,T3E 2M1,1 - 2428 30 ST SW,A1036401,3.0,3.0,1.0,1801.0,townhouse,51.032133,-114.13,2008.0,12.0,4.17,2486.37,na,0.0,1.0
389999,T3E 2H7,1 - 2429 28 ST SW,A1033557,3.0,3.0,,1360.0,townhouse,51.031954999999996,-114.12799999999999,,,4.05,1686.4,na,1.0,1.0
499999,T3E 1W1,1 - 2432 24A ST SW,A1039107,3.0,3.0,1.0,1219.0,townhouse,51.032043,-114.118,1961.0,59.0,3.4,2162.06,na,0.0,1.0
525000,T3E 2M1,1 - 2432 30 ST SW,A1023796,3.0,3.0,1.0,1770.0,townhouse,51.032024,-114.13,,,4.18,2270.16,na,0.0,1.0
132500,T3C 2Y8,1 - 312 CEDAR CRES SW,A1036896,1.0,1.0,,624.0,condo,51.050996999999995,-114.134,1995.0,25.0,4.25,562.14,,0.0,0.0
265000,T2V 0G7,1 - 534 56 AVE SW,A1030423,2.0,1.0,1.0,526.0,townhouse,51.003612,-114.075,1994.0,26.0,4.6,1145.89,na,1.0,0.0
145000,T2N 0J6,1 - 916 3 AVE NW,C4305638,1.0,1.0,,476.0,condo,51.056616,-114.083,2014.0,6.0,1.44,627.0,,0.0,0.0
2432500,T2S 0K8,1 26 AVE SW,A1041379,,,,,,,,2007.0,13.0,,,121097,0.0,0.0
369900,T3K 4W5,1 HARVEST GROVE GREEN NE,A1039823,3.0,3.0,,1197.0,house,51.148697999999996,-114.045,,,11.72,1621.55,4715,1.0,1.0
489000,T2T 2A9,"1, 1538 34 Avenue SW",A1015916,1.0,1.0,,714.0,townhouse,51.023269,-114.096,,,2.86,2114.5,na,1.0,1.0
619000,T2N 0S6,"1, 551 20 Street NW",A1035454,3.0,3.0,1.0,1278.0,townhouse,51.056872999999996,-114.10799999999999,2019.0,1.0,2.73,2676.63,6501,0.0,1.0
394900,T3C 0W3,10 - 1339 14 AVE SW,A1023672,2.0,1.0,1.0,1374.0,townhouse,51.040119,-114.09299999999999,2005.0,15.0,1.44,1707.6,na,0.0,1.0
339000,T2V 3S8,10 - 2815 PALLISER DR SW,A1010981,3.0,1.0,1.0,1167.0,townhouse,50.968745,-114.12200000000001,1980.0,40.0,9.12,1465.88,na,0.0,1.0
260000,T2N 1V1,10 - 806 9A ST NW,A1042958,2.0,1.0,,824.0,condo,51.058440000000004,-114.084,1992.0,28.0,1.66,1124.27,,0.0,0.0
1005000,T2S 2Y1,10 28 AVE SW,A1041914,,,,,,,,1979.0,41.0,,,58370,0.0,0.0
259900,T1Y 0A3,10 BURROUGHS PL NE,A1044920,3.0,2.0,,1848.0,,51.077583000000004,-113.92299999999999,,,11.16,1123.84,na,0.0,1.0
889900,T3B 0L6,10 CRESTRIDGE HTS SW,A1035537,4.0,3.0,1.0,2874.0,house,51.082446999999995,-114.26,,,13.66,3848.04,8105,1.0,1.0
370000,T3K 3V5,10 SANDRINGHAM WAY NW,A1030495,4.0,3.0,,1254.0,house,51.135389,-114.1,1925.0,95.0,10.22,1599.93,4392,1.0,1.0
274800,T3E 6S3,100 - 23 GLAMIS DR SW,A1036767,2.0,1.0,1.0,1295.0,townhouse,51.011655,-114.161,1998.0,22.0,7.13,1188.27,na,0.0,1.0
199900,T2V 0E6,100 - 6919 ELBOW DR SW,A1043110,2.0,1.0,,1040.0,townhouse,50.99199,-114.083,2006.0,14.0,5.92,864.39,na,0.0,0.0
565000,T3P 0H6,100 EVANSRIDGE CLOSE NW,A1035065,5.0,3.0,1.0,2003.0,house,51.175323,-114.118,2018.0,2.0,14.82,2443.13,1169,1.0,1.0
749000,T2X 3A7,100 SUNSET CLOSE SE,A1020888,4.0,3.0,1.0,2371.0,house,50.899443,-114.036,,,16.4,3238.77,697,1.0,1.0
