postal_code,walk_score,bike_score,transit_score
T2Y 3G2,17,62,39
T2E 2Z9,82,95,58
T2N 3R3,74,98,61
T3E 1V3,55,90,60
T2S 0L1,72,97,58
T2S 2Z2,36,70,53
T2T 4S4,50,78,50
T3E 2M1,65,85,58
T3E 2H7,63,86,59
T3E 1W1,51,79,56
T3C 2Y8,37,84,49
T2V 0G7,63,81,57
T2N 0J6,89,99,67
T2S 0K8,67,96,64
T3K 4W5,32,60,38
T2T 2A9,54,80,42
T2N 0S6,49,90,53
T3C 0W3,91,98,68
T2V 3S8,35,80,33
T2N 1V1,84,99,67
T2S 2Y1,45,73,57
T1Y 0A3,4,56,39
T3B 0L6,0,26,26
T3K 3V5,22,55,38
T3E 6S3,51,56,44
T2V 0E6,51,84,54
T3P 0H6,0,30,0
T2X 3A7,10,45,38
T2V 4A1,51,78,42
T2P 1N4,83,88,81
T2G 1S7,69,92,75
T2G 5T7,87,94,76
T2G 1E5,65,93,75
T2N 3E1,92,99,78
T2R 1K6,91,97,69
T3A 2C5,22,51,29
T2M 0V7,70,99,61
T2E 6C6,45,63,39
T3A 5R7,72,91,62
T2E 3J3,79,91,66
T2E 5A9,75,96,73
T2K 5C4,67,96,62
T2K 5L4,46,68,53
T3K 0Z3,14,54,36
T3R 1R3,30,56,38
O0O 0O0,0,1,0
T2W 3N6,38,75,35
T1X 0L4,0,33,0
T3G 5H1,24,50,56
T2R 0N9,89,96,71
T2R 0J6,90,96,76
T3C 0T8,87,90,61
T2C 1X9,40,63,44
T2T 1H4,51,76,51
T3E 7N1,38,82,52
T2E 6X3,79,78,48
T2V 0G9,63,79,53
T2T 6H2,91,83,54
T3G 3L5,54,65,42
T3J 4T1,54,72,61
T3H 4C4,4,47,28
T2W 1M3,40,63,52
T2T 1V5,37,85,46
T2W 1M5,38,58,48
T2T 0K8,85,81,52
T2G 5N7,44,69,44
T2E 0B3,65,82,76
T2V 0H3,73,82,59
T3M 1H1,26,67,36
T3R 0C1,39,61,41
T2A 2G1,40,51,53
T3L 2A1,27,74,32
T2N 0A8,90,99,76
T2N 0A7,93,99,76
T2N 1Z1,87,99,71
T2E 1R1,81,82,55
T2E 0K9,79,91,66
T2S 2R2,64,78,54
T2S 0C5,95,97,71
T3K 4H9,72,72,52
T3K 5R7,41,56,53
T2C 3L9,48,68,46
T2Y 1A9,59,72,60
T2T 4A2,56,81,42
T2W 0T3,52,55,43
T3G 5N2,40,64,21
T3R 1R4,39,60,40
T2G 4L8,54,75,60
T2N 3R7,53,90,54
T3P 0G8,0,33,0
T2E 2A4,65,83,51
T3A 1A3,64,88,58
T3C 3T9,50,79,56
T2H 3B3,67,77,58
T3K 5J7,75,77,51
T3A 5X5,3,27,37
T2E 3E7,74,75,72
T3A 5W8,23,61,39
T3J 0B2,25,69,50
T2S 1Z3,65,77,49
T2Y 0R2,9,60,37
T2J 4L4,67,67,57
T1Y 6Z3,32,61,40
T3L 1L2,28,66,53
T3H 5Y1,58,64,36
T3N 0P3,0,45,41
T2C 5P5,17,35,38
T3K 4X1,57,75,45
T3R 0W6,0,38,0
T2N 0L9,36,77,50
T3K 0V4,53,62,42
T3K 0T1,28,42,42
T3J 4S7,50,70,61
T2E 0B5,78,97,70
T3M 0L1,8,42,37
T2K 1Y8,27,76,53
T2Z 1N2,18,48,41
T3G 5N1,39,69,30
T2Y 3G3,28,62,39
T3H 5B6,31,70,40
T3M 0J1,1,27,22
T3A 2W1,27,52,44
T3M 1N9,9,60,33
T3B 5P5,14,63,28
T3A 5V7,16,52,38
T2Z 0Y4,15,48,45
T3A 5C2,21,63,38
T3J 5M7,3,61,42
T3H 1R1,49,80,63
T3A 0L9,55,86,56
T2T 0L3,91,83,54
T2Z 0T4,37,66,41
T3A 2H6,64,76,64
T2Z 1G9,48,79,47
T2W 1W5,37,68,63
T2R 0R7,95,97,75
T2L 2L6,64,91,67
T2G 0G8,92,93,76
T3J 0S6,33,67,60
T2G 0G3,91,92,79
T2N 0R9,86,99,67
T2R 1A7,95,96,74
T2P 3T9,87,96,78
T3R 0R6,9,36,31
T2R 1E3,90,96,75
T3N 0P5,0,26,18
T2G 1H8,82,90,78
T2V 2W3,57,62,62
T3B 5S5,10,67,23
T2R 0H1,95,95,79
T3R 0V5,0,38,0
T3K 2N3,53,69,54
T2V 4S6,34,59,33
T3G 4W7,23,60,34
T2B 1W6,26,69,43
T3J 3H5,28,68,61
T3C 1V3,67,88,55
T2W 3W4,44,68,34
T3K 5Z3,76,77,51
T2Y 2M3,24,63,42
T2M 0W1,75,99,61
T3J 0G1,24,70,53
T3G 6A9,51,71,36
T3L 2J9,19,61,57
T3A 6C7,6,24,40
T3H 3K5,70,81,48
T2T 2C6,73,78,52
T3K 5A4,44,66,48
T3J 4P3,15,53,56
T3B 2V9,48,84,59
T2A 1A7,54,66,60
T2E 5H9,36,84,39
T3C 0N2,85,99,65
T2E 0J9,69,98,65
T2X 0B2,50,64,34
T2Z 5E3,1,42,30
T3G 5G6,25,47,56
T2G 3E3,54,92,57
T3C 1X4,61,85,56
T3H 4J4,46,77,38
T2E 1T3,79,84,55
T3G 5K1,23,48,37
T2G 4L9,59,77,57
T1Y 7L4,60,77,50
T2S 2G5,86,98,60
T2S 2H8,72,87,48
T2R 0L9,90,95,77
T3K 0K5,39,62,49
T3K 1L1,31,67,47
T3J 2Y4,45,70,51
T3K 3Y8,48,68,46
T1Y 2C9,46,77,42
T2X 3B5,23,43,50
T3H 4S1,51,77,41
T3G 5K7,26,40,54
T3A 2V9,59,91,44
T2S 3C7,55,91,60
T3M 0X6,13,71,39
T3P 0Z1,0,30,0
T3J 0V2,0,0,0
T2W 1G9,0,0,0
T2N 2G4,57,94,59
T3G 4S7,20,54,46
T3B 5P9,8,67,30
T3K 6G6,21,42,38
T3G 4S4,22,60,34
T3M 2X1,8,55,35
T3A 2X6,23,50,43
T3E 5A1,37,62,46
T2J 2J7,42,73,35
T2C 3Z8,32,70,39
T3A 2M3,27,55,41
T2J 3J6,26,69,35
T2X 0H4,48,50,23
T3L 2A3,40,73,29
T2R 1S4,92,95,76
T3M 2L6,30,73,40
T3H 3L9,27,64,57
